Comments,Source
"Sa totoo lang eh si Sotto ang may pinakamalawak na karanasan sa Senate na nabubuhay ngayon eh? Hindi alam yan ng mga Millenials dahil wala pa sila nun? Biro mo? Nakasama nya sila Enrile, Alvarez, Maceda, Guingona na pinakamagagaling na oposisyon ni Marcos Sr.? Muntik pa nga syang maging VP ni Erap?",https://www.facebook.com/reel/624010930646756
"Baka nandoon sa mansion, rest house, yatch, helicopter?",https://www.facebook.com/reel/624010930646757
Hire riding en tandem.yan Ang solution..,https://www.facebook.com/reel/624010930646758
"Lahat ng mga demonyong kurap na mga yan.., pupusta ako maraming investments mga yan nasa ibang bansa.",https://www.facebook.com/reel/624010930646759
"Ebyang, wagkang putak ng putak😎 hintayin mo nalang ang investigation sa Anak mong si Arjo. yes mentioned po ang Anak at asawa mo. pag mapatunayan, kulong silang dalawa😎😎😎😎👊👊👊👊👊",https://www.facebook.com/reel/624010930646760
Cong. Arjo Hinahanap na oh. Asan daw ba? Nasa Hermes bag ba?😂🐊🚧Wag nyo.hanapin di pa kumpleto world tour niya 😂Magaambagan pa tayo,https://www.facebook.com/reel/624010930646761
GRABE TALAGA. NAKAKAGALIT. DAPAT MGA LGU INAAUDIT NILA LAHAT NG PROJECTS SA LGU NILA. KAILANGAN SILA MAG ISSUE NG CERTIFICATION BAGO BAYARAN CONTRACTOR.,https://www.facebook.com/reel/624010930646762
Ninakaw na ng mga TONGgressMainE at SenaTONG 😂🤣😅😅😅🤣🐍🐊💯💯💯🐊😂🐊🐍🐍😂💯🫓💯💯💯😅😅😂💯💯💯,https://www.facebook.com/reel/624010930646763
Bakit ngayon lang nalaman dahil pinag uusapan at mainit ang isyu taon na ang nkalipas,https://www.facebook.com/reel/624010930646764
itanong niyo lang kay arjo ,https://www.facebook.com/reel/624010930646765
Kaya pala lagi baha dyan sa QC....Mayor wala ba makakasuhan dyan....,https://www.facebook.com/reel/624010930646766
Matatag puan pabayan basa bulsa na ng magnanakaw,https://www.facebook.com/reel/624010930646767
"ang mayor na d na bibigyan umiingay lesson sa mga congressman taasan ang lagay sa local government, ganun lng, nakaw lng ng nakaw mga politicians.",https://www.facebook.com/reel/624010930646768
Dapat maparusahan din so atayde,https://www.facebook.com/reel/624010930646769
Nasa mansion na ni Atayde..,https://www.facebook.com/reel/624010930646770
Lahat ng mga congressman na sangkot Dyan ikulong bawiin ang Ari arian,https://www.facebook.com/reel/624010930646771
Ipinang bayad na sa restaurant ng tatay ni cong. Atayde yung ipagagawang fc ,https://www.facebook.com/reel/624010930646772
"RD,Engr , Ng DPWH Si cong. &COA auditor ang MGA involved dyan",https://www.facebook.com/reel/624010930646773
Sampahan ang may pakana nyan imposibleng hindi alam yan ng DPWH at ng DBM sila ang may hawak ng ganyang proyekto. para mapanagot ang mga kurakot lalo na bilyones ang halaga nyan.,https://www.facebook.com/reel/624010930646774
"Asan ung millions of piso,? Wlang takot nga person magbulsa kaban ng bayan, mahiya nman kyo, Hoy kawawa Mga taong mahirap like me",https://www.facebook.com/reel/624010930646775
Talagang nkakagalit!!!!,https://www.facebook.com/reel/624010930646776
Tanong mo kay bbm alam niya,https://www.facebook.com/reel/624010930646777
Hindi tlga makikita ksi nga mga ghost project Pero May pondo napunta sa mga buwayang officials kakagigil😡😡😡,https://www.facebook.com/reel/624010930646778
Sa totoo lng dapat ibalik Ang pera sa kaban Ng bayan sayang Ang buwis nanakawin lng di sapat Ang mawalan ka Ng trabaho kaso or pagkukulong lng dapat my batas Tayo bitay para Wala gagaya or di na dadami Ang magnanakaw para my takot sa batas Ng pilipinas..,https://www.facebook.com/reel/624010930646779
Imbestigahan nyu yung 4 n sangkot n may kick backs n binanggit n dscaya,https://www.facebook.com/reel/624010930646780
si sylvia sanchez ngayon ka magpa interbyu at sagutin mo yan,https://www.facebook.com/reel/624010930646781
Atayyyydeeee! ano na??!!,https://www.facebook.com/reel/624010930646782
Manilang manila na yan dami tao jan,https://www.facebook.com/reel/624010930646783
Grabe talaga kamandarambong ni arjo lalo nung ama omg! Todo deny pa andami ng resibo,https://www.facebook.com/reel/624010930646784
"Na bulsa na nga, flight ng flight ni cora caught 😂",https://www.facebook.com/reel/624010930646785
Alam na this,https://www.facebook.com/reel/624010930646786
magagalit kabtlga,https://www.facebook.com/reel/624010930646787
"Kailangan may third eye, or psychic abilities ang maghahanap",https://www.facebook.com/reel/624010930646788
Bistadona q. C,https://www.facebook.com/reel/624010930646789
Ang lupet,https://www.facebook.com/reel/624010930646790
"Arjo knila Romualdez at tuta sotto:
""Mano po Ninong, Mano po ninang. Dala ko ang 1 bilyon iaabot sa inyo kamay.
Salamat ninong, Salamat Ninang sa Proteksyon na inyong ibibigay.",https://www.facebook.com/reel/624010930646791
Pa imbistigahan nyo ang taguig makikita nyo dyan sa 10k cayetano hahahaha malapit kana mabulaga 10k cayetano hahaha,https://www.facebook.com/reel/624010930646792
Ang tagal na nanloloko ang dpwh,https://www.facebook.com/reel/624010930646793
Sa tagal na baka tinangay na din ng baha hahahah,https://www.facebook.com/reel/624010930646794
"Grabeng Nakawan!
MAKIKITA nyo sa Linggo Yan!",https://www.facebook.com/reel/624010930646795
