comment_id,username,text,created_at_utc,like_count
17942279211025487,nikkijblazaro,😢😢,2025-09-08 11:54:30+00:00,0
17916805491172606,mayyyaaa55,kasuhan na bakit kasi pinapatagal pa,2025-09-08 10:59:06+00:00,0
18073485872032680,_vhsg75,"Praying for you sir, na lagi kang healthy para magampanan  mo ng maayos ung trabaho na binigay sayo para mapabuti ang sambayanang Pilipino God bless!",2025-09-08 12:12:51+00:00,0
17858349186498231,elvzav,"kaya nga dapat may makasuhan na ano pa bang kailangan , ibalik ang pera",2025-09-08 09:34:28+00:00,0
18036365528480441,ethelguarin,God bless you po Sir. Praying na gabayan ka at protektahan ka ni Lord para maiayos ang katiwalian at managot ang dapat managot sa DPWH. 🙏🙏🙏,2025-09-08 16:39:16+00:00,0
18088039546840888,ira.corner2024,Nakakahiya na talaga,2025-09-08 12:22:06+00:00,0
18418778929111441,iamgatch69,"Kasuhan na agad before they “escape” and hide their loot and bank accounts, issue hold departure order",2025-09-08 09:43:26+00:00,0
18020614385561743,jujugomezampa,Dapat yang mag asawa makulong at ibalik ang pera ng bayan,2025-09-09 00:28:08+00:00,0
18093722881674267,micky_a.k.a_tnm,Yun ang problema wala nang tiawala ang tao sayo,2025-09-08 12:47:56+00:00,0
18063936110040564,jujugomezampa,Small but terrible 👏👏👏👏,2025-09-09 00:27:43+00:00,0
18062946059523177,juicytruthgum,"Di ka binoto ng buong ankan namin, BBM, pero happy kami sa mga moves mo lately. Sana tuloy tuloy na mali kami.",2025-09-15 01:38:57+00:00,0
17920926462150038,cewster_,Tapos bigla akong na gising.. Panaginip lang pala 😂,2025-09-15 02:43:48+00:00,0
18040269017422790,renemagdaluyo,Buwagin na ang DPWH,2025-09-15 01:39:23+00:00,0
17867360406378232,jamconcepcion.11,,2025-09-15 01:46:22+00:00,0
18079730554784034,karloztin,Maniniwala lang ako sa Presidente pag bumaba na si House Speaker Romualdez sa kanyang pwesto. 😂,2025-09-15 02:03:43+00:00,0
18384897961125545,ramonster1195,Walang makukulong dyan! Pinas to eh!,2025-09-15 02:30:16+00:00,0
18066285731261592,itsmiccamicca,Hay ewan pinababango lang nya sarili nya..,2025-09-15 02:42:54+00:00,0
17965449785959234,lorabatesebastian,Words are easy. Kelan ang aksyon?,2025-09-15 02:19:44+00:00,0
18401693200187057,kura6eru,The untouchable will be touched🤣,2025-09-15 01:36:25+00:00,0
