Hashtags,Comments,Source
,Congrats and good luck expect po bashers,Threads
,Sa amen need ng flood control...congressman ng malabon yan si ex mayor lenlen baket jan may paflood control char..tska bawal din sila magnegosyo dapat ng ganyan lalo na if government diba..,Threads
,"I live nearby, ang weird kasi mataas na area na yan. Drainage lang talaga problem.",Threads
,kailanga ma-refund sa atin ang P98 Million baka fully paid na yan.,Threads
,Naalala ko na naman yung tulay sa Isabela  na kagagawa lang pero nasira agad. 😐,Threads
,May construction firm pala sila 🤔 bat ang baha sa Malabon di nila maayos 😤,Threads
,"Taga dito ako at I can say na libo libong bagyo na ang dumaan perp never kaming binaha dito dahil bundok nga ito, ang kakapal ng mukha ng mga nakaisip maglagay ng flood control dito, mas kailangan ang flood control sa tapat ng munisipyo ng munti at sa baybayin ng laguna de bay. Sana maimbistigan din ito at may managot. Over price din ito at sabi dito march pa nag start pero ito lang august binungkal nung kaputukan ng ghost projects.",Threads
,Ibang kulay pero parehong buwaya,Threads
,Baka Mamaya tuta din yang pinalit,Threads
,"Taga 6th District Isabela, kumusta naman po ang mga Flood control project ni Speaker. . Meron po ba",Threads
,🐊🐊🐊🐊the same hinatsa niya palang kawawa lang tayo mga OFW,Threads
,Gosh ano ifflood control nila dyan? It sits on top of a hilly side ng Muntinlupa. If may gagawin man diyan is yung drainage lang dahil naapaw kapag malakas ang ulan pero deretcho na yan sa ilog na di naman naapaw.Yan yung sinasabi ni Mayor Magalong na nabibigla na lang ang LGUs may mga DPWH projects na national project yet walang corresponding action sa kanila. Bypass kung bypass.,Threads
,Bakit Partylist Daming Magaling kesa kanya!!,Threads
,Sya ang susunod na bilyonaryo,Threads
,"Matagal na sa construction business ang mga Oreta. Naalala ko tuloy saan nag-ugat ang falling out ng mag-hipag na Cory Aquino at Tessie Aquino-Oreta. The latter was interviewed nawalan sila ng mga projects by virtue of being a presidential sister-in-law. Kaya at the crucial junction in history that was Erap Impeachment, thru EDSA Dos, she was on the dark side.  
",Threads
,This won’t last. Watch.,Threads
,Villar also had a budget unused during pandemic (in Trillions) when construction weren’t allowed. Where was it used? Naitago nila bc we were all focused on covid. Kaya hinahanap ko talaga sya sa issue na to.,Threads
,"Former DPWH Sec. Babes Singson also mentioned that in one of his interviews. Sayang yung masterplan. All the Duterte admin should have done was continue it. Implementation na lang eh. Villar had his work cut out for him. Kaso alam niyo naman, corrupt talaga ang admin na yan.",Threads
,"Wala yang paki. Out of reach yan.
So sad lang kasi before he become a household name in politics lot of people were admiring him but now nakakaSad lang talaga.",Threads
,Same lang sila ni Martin. May kaso din to dati ng Plunder dahil sa corruption. 🤣🤣🤣,Threads
,"alsoo, some of the projects’ budget were already released, ang gagawin nalang ng next in line ay execution talaga lol, hence the build build build",Threads
,"Same same lang, pareho lng ng dugo ni tambi",Threads
,"Yung Flood Control Project Masterplan ng Aquino admin must have been based sa Project Noah which the Duterte admin unfunded, as well.",Threads
,Mas malaki masisilip sa kanya pag natuloy ang impeachment kesa dito sa “campaign fund donation” eme nila. Baka sya nga talaga si Mary Grace Piattos CHIZ Flavor. So mas okay sa kanya to kesa sa impeachment ni Inday Lustay ang ungkatin,Threads
,Laganap din vote buying in that area smh. Tangena,Threads
,Nasaan na meow meow nyo? 🤣🤣😂🤪😁,Threads
,Walang pagbabago maskara lang ni Romualdez Yan pinaglalaruan lang tayo Ng gobyernong ito,Threads
,Same species of crocs wala ka talagang aasahan sa House of Representative na pagbabago,Threads
,Isa ring MAGNA! Si Romualdez parin ang House Speaker!🤬🤬🤬🤬🤬🇩🇪🇵🇭,Threads
,"Lahat nang naka signed sa mga government officials should be charged of plunder, economic sabotage, falsification kung ano pa ang dapat. Negligence. Revoked",Threads
,Include MARK COLETA. He wants them to be a state witness. Nagninong pa nga para sa mga Discaya. 😅🤡✌️🤷🤔,Threads
,Hahahahahaha .. tapos sabi nila tama daw si Marcolleta for protection. How come can you be that stupid? Evidences will come out if we need to move to another officials. So be it! Discaya must pay for their own protection... !,Threads
,Wla daw sila ghost projects. Incomplete lng daw 🙃🙃🙃🙃🙃,Threads
