Now,Wed Sep 17 2025 21:41:20 GMT+0800 (Philippine Standard Time),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Post URL,https://www.tiktok.com/@abscbnnews/video/7546245902101400839,,,,,,,,,
Publisher Nickname,ABS-CBN News,,,,,,,,,
Publisher @,abscbnnews,,,,,,,,,
Publisher URL,https://www.tiktok.com/@abscbnnews,,,,,,,,,
Publish Time,4-9-2025,,,,,,,,,
Post Likes,55.9K,,,,,,,,,
Post Shares,2974,,,,,,,,,
Description,Flood control project ginagawa pa kahit idineklarang tapos na. #tvpatrol #abscbnnews #fyp #news #newsph,,,,,,,,,
Number of 1st level comments,606,,,,,,,,,
Number of 2nd level comments,24,,,,,,,,,
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",630,,,,,,,,,
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),1046,,,,,,,,,
Difference,416,,,,,,,,,
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,azeck,mazeckkc,https://www.tiktok.com/@mazeckkc,bat walang gumagalaw Kay Romualdez eh siya nga pinaka suspicious dyan,4-9-2025,5293,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0aa509b85e20882a2e58e2ae5341d44a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0353be50&x-expires=1758200400&x-signature=JN1hpTKGiEY%2BHygfEOjDReIXGBA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,56
2,Ceanxian421,ceanxian26,https://www.tiktok.com/@ceanxian26,pinsan po kse ni bangag,4-9-2025,188,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7c4efa2ea1a4c24366374573da589c4c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=88f9c8ca&x-expires=1758200400&x-signature=r9eDqaFMf0MG2rtWgDFpHA5fAXk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
3,(っ◔◡◔)っ 🧡 Junjun 🧡,juniecuti3,https://www.tiktok.com/@juniecuti3,pamilyang dutaë:,5-9-2025,47,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/631fdfbf1f2f1c338cf4de8af679328f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c83d3a7&x-expires=1758200400&x-signature=%2Bq42Fxpp5zrNs2bneK%2FjZHYXsjQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
4,(っ◔◡◔)っ 🧡 Junjun 🧡,juniecuti3,https://www.tiktok.com/@juniecuti3,roro dutaë:,5-9-2025,42,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/631fdfbf1f2f1c338cf4de8af679328f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c83d3a7&x-expires=1758200400&x-signature=%2Bq42Fxpp5zrNs2bneK%2FjZHYXsjQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
5,nizhanjayel,tergmac,https://www.tiktok.com/@tergmac,😂,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a51f45495ac5d97fa251d6833fbdaea6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8ab7ed3d&x-expires=1758200400&x-signature=WSht74l524j5i%2FPx%2B0taywKIgUk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
6,Potato Corner,potato.corner75,https://www.tiktok.com/@potato.corner75,AI Yarn? hahaha,5-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7260023595182030853~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9d5147df&x-expires=1758200400&x-signature=GWuUEGVa2ZRP%2Bj%2BpsJqyXOaLDKk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
7,(っ◔◡◔)っ 🧡 Junjun 🧡,juniecuti3,https://www.tiktok.com/@juniecuti3,,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/631fdfbf1f2f1c338cf4de8af679328f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c83d3a7&x-expires=1758200400&x-signature=%2Bq42Fxpp5zrNs2bneK%2FjZHYXsjQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
8,(っ◔◡◔)っ 🧡 Junjun 🧡,juniecuti3,https://www.tiktok.com/@juniecuti3,,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/631fdfbf1f2f1c338cf4de8af679328f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c83d3a7&x-expires=1758200400&x-signature=%2Bq42Fxpp5zrNs2bneK%2FjZHYXsjQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
9,(っ◔◡◔)っ 🧡 Junjun 🧡,juniecuti3,https://www.tiktok.com/@juniecuti3,pamilyang dutaë:,5-9-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/631fdfbf1f2f1c338cf4de8af679328f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8c83d3a7&x-expires=1758200400&x-signature=%2Bq42Fxpp5zrNs2bneK%2FjZHYXsjQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
10,Potato Corner,potato.corner75,https://www.tiktok.com/@potato.corner75,AI Yarn 😆😆😆,5-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7260023595182030853~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9d5147df&x-expires=1758200400&x-signature=GWuUEGVa2ZRP%2Bj%2BpsJqyXOaLDKk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
11,Potato Corner,potato.corner75,https://www.tiktok.com/@potato.corner75,AI Yarn 😆😆,5-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7260023595182030853~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9d5147df&x-expires=1758200400&x-signature=GWuUEGVa2ZRP%2Bj%2BpsJqyXOaLDKk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
12,Potato Corner,potato.corner75,https://www.tiktok.com/@potato.corner75,AI Yarn 😆😆😆,5-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7260023595182030853~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9d5147df&x-expires=1758200400&x-signature=GWuUEGVa2ZRP%2Bj%2BpsJqyXOaLDKk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
13,maze𐙚,meyswaa_,https://www.tiktok.com/@meyswaa_,Konek?,8-9-2025,0,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ae0b369efb9165e13f3950349dbdeca2~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a2393375&x-expires=1758200400&x-signature=A6ypzJAyKBqwkX6D8%2BxC%2BY0JrN4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
14,NBA2kmobile,nbanaus,https://www.tiktok.com/@nbanaus,bespren ni BBM eh HAHAH,4-9-2025,60,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/b081343b9dae3a93cdb78aabd9477e33~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5ad6cb08&x-expires=1758200400&x-signature=dGdOZT7n7d2UF9nKlf8K6s9RT2k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
