Now,Wed Sep 17 2025 21:56:32 GMT+0800 (Philippine Standard Time),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Post URL,https://www.tiktok.com/@gmanews/video/7540635424818040080,,,,,,,,,
Publisher Nickname,GMA News,,,,,,,,,
Publisher @,gmanews,,,,,,,,,
Publisher URL,https://www.tiktok.com/@gmanews,,,,,,,,,
Publish Time,20-8-2025,,,,,,,,,
Post Likes,166.5K,,,,,,,,,
Post Shares,8817,,,,,,,,,
Description,"Fully paid at idineklara nang tapos pero hindi maaninag ang isang flood control project nang puntahan ng pangulo sa Baliuag, Bulacan.

Galit ang pangulo at nagbantang hahabulin ng kasong economic sabotage ang mga sangkot.

P55 milyon pa naman ang ipinondo sa proyekto. | 24 Oras

#BreakingNewsPH #GMAIntegratedNews #24Oras
less",,,,,,,,,
Number of 1st level comments,639,,,,,,,,,
Number of 2nd level comments,38,,,,,,,,,
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",677,,,,,,,,,
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),8062,,,,,,,,,
Difference,7385,,,,,,,,,
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,Ginnivs,_ginniva,https://www.tiktok.com/@_ginniva,Isantabi muna natin ang kulay sa pulitika. Nag uumapaw ang kurapsyon sa bansa. Hindi yan kaya ng pangulo mag isa. Kailangan natin sya tulungan. Kailangan natin mag ingay.,20-8-2025,18.8K,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/faf9bda2a4ed8cd209b91e027c0c4f3b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=77e4f15f&x-expires=1758200400&x-signature=x63cqfT4pSWTs%2B%2BebnyT0cJS%2FJQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,9
2,Cha Nu,cha.nu3,https://www.tiktok.com/@cha.nu3,"dito lang ako natuwa sa lahat ng mga nag comment, imbes na nagtulungan pinapairal pa ang sisihan na wala namang maaambag",21-8-2025,1724,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/62e9ab46a42c6f5185ef4a5335e584de~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f6426b95&x-expires=1758200400&x-signature=d8W9w0KqoYj34%2FNbwUxq78gvu94%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
3,Leo daculong,imbrok7,https://www.tiktok.com/@imbrok7,my point ka diyan. imbis na magkaisa nagsisisihan pa kala Naman Nila Meron pa Silang magagawa. Hindi madali Ang trabahu ng pagiging presidente.kaya nga may LGU's dahil para may kanya kanyang departamento.,21-8-2025,567,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/7138442521486557210~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b157960b&x-expires=1758200400&x-signature=vyhJzO5Ywa0l7X16FdhFqkmkLwg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
4,Cha Nu,cha.nu3,https://www.tiktok.com/@cha.nu3,tama,21-8-2025,68,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/62e9ab46a42c6f5185ef4a5335e584de~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f6426b95&x-expires=1758200400&x-signature=d8W9w0KqoYj34%2FNbwUxq78gvu94%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
5,Elle Coquia,ellecoquia,https://www.tiktok.com/@ellecoquia,Yes tama. Kaya nga meron department o sangay kc sla un gagawa dun.,22-8-2025,20,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1b836db9c95e5f7eefbbc0627afa84da~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8ea2039e&x-expires=1758200400&x-signature=OkDA3%2F%2FGTmh1aITiyEV7fzPolvI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
6,WIEng,ngwie1,https://www.tiktok.com/@ngwie1,ito ang patunay na hindi goberno ang corrupt kundi ang mga nasa baba,22-8-2025,25,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a0c8aa9ec02b803a6e22a5bba89c1d8c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=14c35481&x-expires=1758200400&x-signature=8036fXHtSEPW13FszAYQeKFgxXk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
7,Darlyn❤️,darlyn3316,https://www.tiktok.com/@darlyn3316,Alam nya yan kasi pinsan ang #1 na may Kay gagawan nya yan,23-8-2025,6,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/25013cf2d99ee35aef2ee2e2d6a2fb21~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4ea637d4&x-expires=1758200400&x-signature=gNpaNXPbVJ9vDzV0dgsYj0UDh5M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
8,🔴phrynx cabu🤭,phrynxcabu5,https://www.tiktok.com/@phrynxcabu5,hindi talaga madali because his subordinates will not respect and will abuse him because they know he is so weak to implement what is right,23-8-2025,15,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/df5ac0bf2fe2e21e443066e4718416c4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=decbe134&x-expires=1758200400&x-signature=TksKmX9Q5rZE6eC5Jwc0ZD5r3d0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
9,Malica ʕっ•ᴥ•ʔっ,malica.mo,https://www.tiktok.com/@malica.mo,"pano yung mga DDS eto yung hinihintay palagi, yung magkamali yung kaaway nila hahahaha tapos pputak nang pputak sila puro sisi at kung ano ano pa hahahaha",24-8-2025,6,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/23b8ad5004dd4f0141a7517a6f52553e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=25b370aa&x-expires=1758200400&x-signature=jzUT5R%2FtMJo59YoDQlSKzBJirac%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
10,I'm kevz,rkevx,https://www.tiktok.com/@rkevx,Eee pano kay sara nyu palageng sinisisii ang lahaat,24-8-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/35de00e7d5468b8e3480813ba559f83d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=09c7943c&x-expires=1758200400&x-signature=9kCqo197h3cVkxQ91u%2FoPxwQkm4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ginnivs,0
11,🇵🇭YakapSols❣️💪🏻🚢⚓️🇯🇵,regieabarca,https://www.tiktok.com/@regieabarca,bkt ngayon lng nag check na wla Pala flood control.. tpos binida pa sa Sona nya?🤣🤣🤣,20-8-2025,658,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a6b569affb3742b9786e57184b93874c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8b497a4b&x-expires=1758200400&x-signature=qDDTTDoBPZWueBfvUq0EYSsBhjg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,30
