Now,Wed Sep 17 2025 22:11:01 GMT+0800 (Philippine Standard Time),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Post URL,https://www.tiktok.com/@news5everywhere/video/7545112713316388114,,,,,,,,,
Publisher Nickname,News5,,,,,,,,,
Publisher @,news5everywhere,,,,,,,,,
Publisher URL,https://www.tiktok.com/@news5everywhere,,,,,,,,,
Publish Time,1-9-2025,,,,,,,,,
Post Likes,11.6K,,,,,,,,,
Post Shares,985,,,,,,,,,
Description,"Ginisa ng mga senador ang contractors ng umano’y maanomalyang flood control projects.
Ang kontratistang si Sarah Discaya, umamin na mayroon siyang 28 luxury cars at isa sa may-ari ng siyam na kompanyang nakakuha ng proyekto sa gobyerno. #FrontlinePilipinas #BreakingNewsPH
less",,,,,,,,,
Number of 1st level comments,111,,,,,,,,,
Number of 2nd level comments,13,,,,,,,,,
"Total Comments (actual, in this list, rendered in the comment section; needs all comments to be loaded!)",124,,,,,,,,,
Total Comments (which TikTok tells you; it's too high most of the time when dealing with many comments OR way too low because TikTok limits the number of comments to prevent scraping),362,,,,,,,,,
Difference,238,,,,,,,,,
Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
1,c.shee0,c.shee0,https://www.tiktok.com/@c.shee0,"mas marami pa car nila kaysa sa bra ko, HAHAHAHAH",1-9-2025,433,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5d78084afe2e4f84e013913c54579e72~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=61f74549&x-expires=1758204000&x-signature=pT5lXHddAIMgdctSqZYP2fVh9ao%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,3
2,Karl,ok.karl,https://www.tiktok.com/@ok.karl,oks lang yan di mo naman kailangan,1-9-2025,19,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/44885086eee19a7c7809cef05c9db821~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9cad0897&x-expires=1758204000&x-signature=KxXKWEKUXon6Bt%2BVI8H4arbqxrU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,c.shee0,0
3,Vinz Vimz,vinzvimz05,https://www.tiktok.com/@vinzvimz05,😂😂,1-9-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f95f64cac8fd875c991728131108e57a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e8a06b16&x-expires=1758204000&x-signature=Si7BAKWxLbmxESbdWw3Tyr8PfAk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,c.shee0,0
4,Mc,mcdrhoni,https://www.tiktok.com/@mcdrhoni,savage💀,2-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/18452d1480821f79a680120d6d737760~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3e5e7379&x-expires=1758204000&x-signature=UNfTz0hUDNgImwAFPsaCSGkn62A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,c.shee0,0
5,Аушен Хейлстрейнокс,aushen.halestrynox,https://www.tiktok.com/@aushen.halestrynox,"40 yun ah, bakit 28 na lang?",1-9-2025,72,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8a9617cd2025225675eda4c455ed79ed~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=52783bbc&x-expires=1758204000&x-signature=2jmYho17ptSDjDHm6vAPA49Ktak%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,8
6,Nanzy29,nancypgutierrez,https://www.tiktok.com/@nancypgutierrez,dna daw nya maalala yong iba 😂,1-9-2025,5,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1f09df46dc79e8ddb5f53b2ee2432a5f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=aaceaf7b&x-expires=1758204000&x-signature=dnpz6LOCsxeFLRMrqBDfiBvBy3c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Аушен Хейлстрейнокс,0
7,yel,.vailocity,https://www.tiktok.com/@.vailocity,"28 luxury vehicles, the rest service vehicles",1-9-2025,3,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/96a2a0d66a56db7f5a49eccb2bff82a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f48531e3&x-expires=1758204000&x-signature=MP1bEd8GhlJ6hTR5IDIIxdQWBYA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Аушен Хейлстрейнокс,0
8,justine,justine.sy3,https://www.tiktok.com/@justine.sy3,naniwala ka naman HAHAHAAHAHH,2-9-2025,3,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/455180dd4787addd3f47706eb7722337~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d26e10c4&x-expires=1758204000&x-signature=zoM6GcMSlm1gXeIm2CRulR6HvtI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Аушен Хейлстрейнокс,0
9,matt_type18,shrimp_type18,https://www.tiktok.com/@shrimp_type18,naging 12 na nga lang e haha,2-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3ab6edc2737e339948804709fe6d3bde~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3ee98fed&x-expires=1758204000&x-signature=c5Ajm7Yxt47GuVNmXW3nPS0xq1g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Аушен Хейлстрейнокс,0
10,Nisha,nishasaffiliatecorner,https://www.tiktok.com/@nishasaffiliatecorner,28 ata yung pinaka kanila talaga the rest nakapangalan na sa kumpanya nila yung iba,2-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/64da1528b4e5a3a5d70e92470ff41285~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a1de6cce&x-expires=1758204000&x-signature=5NIZGvAxry83Cx6UTwDhL50DXm8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Аушен Хейлстрейнокс,0
11,Jocelyn Balucio,jocelynbalucio,https://www.tiktok.com/@jocelynbalucio,Tinago na kasi nabuking na sila,2-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2e45e8c4b3dcd0d6cf1932f6d514e2e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2184b49c&x-expires=1758204000&x-signature=qAGyg7lJph6E%2F%2FvwOyR48BYcs3E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Аушен Хейлстрейнокс,0
12,risaarenopse,risaarenopse,https://www.tiktok.com/@risaarenopse,baka bininta😆,2-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a010267f63b7d291abc15dcfe4d9e731~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7554d802&x-expires=1758204000&x-signature=bjv5HPd0dGNTNMas5sv4XmBfVQ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Аушен Хейлстрейнокс,0
13,Tinolang_Adobo,boss_je_95,https://www.tiktok.com/@boss_je_95,inanod yata ng baha 🤣🤣,2-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/30b0482f7f44ec10b26a713b52d67e57~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=65f9626d&x-expires=1758204000&x-signature=T5LrwCl837z0KFjygnBqM6lzmPQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Аушен Хейлстрейнокс,0
14,ANTOOOON🔥,antoooon72,https://www.tiktok.com/@antoooon72,real talk walang makukulong jan,2-9-2025,113,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/82e555fe9253b39705a25bb4a00aa5ad~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=995fdba1&x-expires=1758204000&x-signature=FdhCEIxMQ%2B08Rt48vV9vbbayNVo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,3
15,Tonyiii,tonycalimagiii,https://www.tiktok.com/@tonycalimagiii,well ganon talaga kapag mayaman ka HAHAHAHAHA,2-9-2025,5,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e0e080c88eee9db965af130acd79efb7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=011297ee&x-expires=1758204000&x-signature=%2FEZVtxRWGAZin%2FovxV9jG3QfIaY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,ANTOOOON🔥,0
16,ANTOOOON🔥,antoooon72,https://www.tiktok.com/@antoooon72,,2-9-2025,3,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/82e555fe9253b39705a25bb4a00aa5ad~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=995fdba1&x-expires=1758204000&x-signature=FdhCEIxMQ%2B08Rt48vV9vbbayNVo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,ANTOOOON🔥,0
17,Jocelyn Balucio,jocelynbalucio,https://www.tiktok.com/@jocelynbalucio,Ganun talaga ang batas sa pinas👍👍,2-9-2025,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2e45e8c4b3dcd0d6cf1932f6d514e2e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2184b49c&x-expires=1758204000&x-signature=qAGyg7lJph6E%2F%2FvwOyR48BYcs3E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,ANTOOOON🔥,0
18,Ashhhsssllleyyyyyehee✨💫,kendallhhs24,https://www.tiktok.com/@kendallhhs24,bakit po si discaya lang ginigisa sa senado wala ung mga Co?,3-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cd6de2186770cf76a9e8200aa97aa06f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d4a3e121&x-expires=1758204000&x-signature=klbOQY7ghBGAIb4P9k5r0CQlVZ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,1
19,Ashhhsssllleyyyyyehee✨💫,kendallhhs24,https://www.tiktok.com/@kendallhhs24,sana masagot ng tama,3-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cd6de2186770cf76a9e8200aa97aa06f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d4a3e121&x-expires=1758204000&x-signature=klbOQY7ghBGAIb4P9k5r0CQlVZ0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Ashhhsssllleyyyyyehee✨💫,0
20,Mark still learning.,rouksekairo,https://www.tiktok.com/@rouksekairo,sarah discaya umiyak 💀,2-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/19075521d995f9003f930f332bf115ea~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fa863562&x-expires=1758204000&x-signature=Afoh5PxFwoclW%2Bp6MVQL%2F5ovynE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
21,Jin Kazama,underratedwel,https://www.tiktok.com/@underratedwel,brief ko nga apat lang e,2-9-2025,35,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5689aa34534561cbd0d69e6120ce159e~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=75a3defa&x-expires=1758204000&x-signature=TGFMj0LzqZzQzG25lnJ7KBbMBAk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,3
22,username2010,oliclounver,https://www.tiktok.com/@oliclounver,ako nga broo tatlo nilalaba laba kopa katapos kong maligo ahhaha,2-9-2025,3,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1df0858fecfda819022e92a9d0db8021~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fd7c635d&x-expires=1758204000&x-signature=h4co6D2la2qUG8H0byui8CtUzRs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Jin Kazama,0
23,CARL,chrlndr0830,https://www.tiktok.com/@chrlndr0830,"kaya sa mga bumoto kay Discaya noong nakaraang eleksyon, mga 8080 naman kayo",2-9-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/24f0cc907826cc239720322a1121315b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d5d0374d&x-expires=1758204000&x-signature=sEuSxjpAz7V8JgBg8loQbc6oxr4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Jin Kazama,0
24,Grace🌷,tanashiri514,https://www.tiktok.com/@tanashiri514,HaHaHa 😂,2-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fd5ed56cec831757004140ca9b08d605~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=97bb1610&x-expires=1758204000&x-signature=thc8Vdu%2BVEsehQaK%2FArLLEFCRWk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Jin Kazama,0
25,Rickven,rickvenragil,https://www.tiktok.com/@rickvenragil,"napanuod ko na toh , walang makukulong dito HAHAHAHA",2-9-2025,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e76ed3067d94e4c278d909c2e5241ede~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=07b12007&x-expires=1758204000&x-signature=UWyVHL8YIndsYgfyLiV%2Fj%2BSho3U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,3
26,paksiw,ikawlangsapatn223,https://www.tiktok.com/@ikawlangsapatn223,Tama boss pinatagal Lang tpos SA huli wala na atong ang😂😂,2-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7287464604133621766~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=997ce358&x-expires=1758204000&x-signature=3j%2Bm6kYym7noAy0%2FdhfbMtsHZbc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Rickven,0
27,Rickven,rickvenragil,https://www.tiktok.com/@rickvenragil,"Kahit ano pang ibalita nila walang justice sa pilipinas , mga mahihirap lang pinapatawan ng kulong HAHAHAHA",2-9-2025,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e76ed3067d94e4c278d909c2e5241ede~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=07b12007&x-expires=1758204000&x-signature=UWyVHL8YIndsYgfyLiV%2Fj%2BSho3U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Rickven,0
28,paksiw,ikawlangsapatn223,https://www.tiktok.com/@ikawlangsapatn223,UNg nag nakaw ng isang sako Ng bigas kulang agad wla money Samantala Yan mayaman kailangan imbistigahan para makabigay Ng malaki 😂😂😂😂,2-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7287464604133621766~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=997ce358&x-expires=1758204000&x-signature=3j%2Bm6kYym7noAy0%2FdhfbMtsHZbc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Rickven,0
29,Zack'N Zayn Shop,.jmzz_98,https://www.tiktok.com/@.jmzz_98,pagkatapos sabunin ginisa naman ..ano nang lasa nyan?,2-9-2025,1,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/7116862101812936730~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d28c5d03&x-expires=1758204000&x-signature=HC0nnDHnBimiNFQSMu86WVq1mj0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,1
