Topic,Keywords
0,"galing, pilipinas, makukulong, alam, senado, pilipino, siguro, kulungan, bayan, kapal"
1,"guy, alcantara, good, coming, bangag, hopefully, tiba, thank, romualdez, properties"
2,"corruption, take, government, people, money, fund, president, corrupt, confidential, philippine"
3,"congressman, magalong, congressmen, senators, congress, impeachment, mayors, mayor, senate, term"
4,"flood control, flood, control, control projects, inspect, sapat, projects, road, climate, admin"
5,"inspection, construction, contractor, completion, build, luxury cars, bypass, complete, engr, project"
6,"state, witness, hearing, gustong, witness discaya, marcobeta, gawing, tapos, itong, mataas"
7,"death penalty, penalty, death, jail, put, children, prison, execution, bitayin, public"
8,"freeze, assets, freeze assets, escape, seize, seize assets, came, list, tax, many days"
9,"pesos, gamit, tig, budget, solution, malamang, billion, bahain, economy, ilipat"
10,"hague, puwede, rest, mansion, sina, agree, duterte, mean, digong, jailed"
